trun,c,ELp,value,scenario
2015,ksa,Steam,153.3053496851834,A
2015,ksa,GT,62.90340765902475,A
2015,ksa,PV,0.04182679928646153,A
2015,ksa,Cogen,45.50759787885174,A
2015,ksa,CCGT,77.83610406504182,A
2015,uae,GT,12.883763808806302,A
2015,uae,PV,0.02771486727326956,A
2015,uae,CSP,0.1171726628325944,A
2015,uae,Cogen,105.54397440360322,A
2015,uae,CCGT,15.651820711955006,A
2015,qat,GT,1.1879727223448595,A
2015,qat,Cogen,36.77160546167288,A
2015,qat,CCGT,5.69294241595485,A
2015,kuw,Cogen,68.62894010554709,A
2015,bah,Steam,1.7214825005615486,A
2015,bah,Cogen,0.7883999999999991,A
2015,bah,CCGT,14.070066539847202,A
2015,omn,Cogen,19.14211445760606,A
2015,omn,CCGT,14.231269117509303,A
2016,ksa,Steam,172.29982459462795,A
2016,ksa,GT,67.95794375543281,A
2016,ksa,PV,0.04145655135811725,A
2016,ksa,Cogen,44.91637557101388,A
2016,ksa,CCGT,77.83610404513539,A
2016,uae,GT,11.982974624635089,A
2016,uae,PV,0.027474125633548594,A
2016,uae,CSP,0.11507617293559191,A
2016,uae,Cogen,112.90154928001168,A
2016,uae,CCGT,15.301717588205578,A
2016,qat,GT,1.2674017304224832,A
2016,qat,Cogen,39.03700710720001,A
2016,qat,CCGT,5.549096533966465,A
2016,kuw,Cogen,71.5723448116149,A
2016,bah,Steam,2.4596192506123886,A
2016,bah,Cogen,0.7883999999999999,A
2016,bah,CCGT,14.293139887286538,A
2016,omn,Cogen,19.142114457600037,A
2016,omn,CCGT,16.23367213202225,A
2017,ksa,Steam,160.74211226488265,A
2017,ksa,GT,53.60460633737656,A
2017,ksa,PV,0.04108960472000853,A
2017,ksa,Cogen,58.268147332115014,A
2017,ksa,CCGT,108.28056430269017,A
2017,uae,GT,12.949648973902695,A
2017,uae,PV,0.027218244566703253,A
2017,uae,CSP,0.11732608619906523,A
2017,uae,Cogen,115.91942724000188,A
2017,uae,CCGT,17.15368756875059,A
2017,qat,GT,1.245427747796263,A
2017,qat,Cogen,41.57226179622253,A
2017,qat,CCGT,5.247809907116036,A
2017,kuw,Cogen,74.3011098272836,A
2017,bah,Steam,2.9896973841897094,A
2017,bah,Cogen,0.7883999999999999,A
