c,trun,ELp,value,scenario
ksa,2016,Steam,4.38,A
ksa,2016,GT,0.357,A
ksa,2016,CC,3.927,A
ksa,2017,Steam,3.64,A
ksa,2017,GT,0.141,A
ksa,2017,Wind,0.003,A
ksa,2018,Steam,0.392,A
ksa,2018,GT,0.754,A
ksa,2018,CC,2.06,A
ksa,2019,GT,0.022439607179570237,A
ksa,2019,CC,1.504,A
ksa,2019,PV,0.31,A
ksa,2020,CC,7.02,A
ksa,2020,GTtoCC,3.586,A
ksa,2020,CSP,0.18,A
ksa,2021,CC,5.4,A
ksa,2027,CC,1.2631562441726356,A
ksa,2028,CC,5.980044409944546,A
ksa,2029,CC,5.139861509821794,A
ksa,2030,CC,5.390386154809819,A
uae,2016,CC,0.34,A
uae,2017,GT,0.3747775174502351,A
uae,2017,PV,0.2,A
uae,2018,GT,1.0690318174867444,A
uae,2018,CC,1.24,A
uae,2018,PV,0.2,A
uae,2020,GT,1.1140932409759747,A
uae,2020,GTtoCC,0.0703,A
uae,2020,Nuclear,5.6,A
uae,2020,PV,1.7770000000000001,A
uae,2021,CoalSteam,1.8,A
uae,2022,PV,0.15,A
uae,2023,CoalSteam,2.4,A
uae,2027,Steam,9.654429097196055e-08,A
uae,2027,CC,0.01120270763860978,A
uae,2027,CoalSteam,4.942079000670161e-07,A
uae,2028,CC,0.4013448956449254,A
uae,2029,CC,0.6879089514087804,A
uae,2030,CC,0.41992320468966127,A
qat,2016,GT,0.0770041077608222,A
qat,2019,GT,0.012032052709959625,A
qat,2020,GT,0.42342009079710086,A
qat,2020,GTtoCC,0.08750000000000001,A
qat,2021,Steam,0.4815937783115709,A
qat,2022,CC,0.40132814859292776,A
qat,2023,CC,0.5618594080301664,A
qat,2024,CC,0.5618594080301693,A
qat,2025,CC,0.5618594080301454,A
qat,2026,CC,0.5618594080301473,A
qat,2027,CC,0.6421250377487306,A
qat,2028,CC,0.6421250377487536,A
qat,2029,CC,0.7223906674673453,A
qat,2030,CC,0.7223906674673248,A
bah,2028,CC,0.08655507926601748,A
bah,2029,CC,0.11993015872363809,A
bah,2030,CC,0.13991851851103643,A
omn,2016,CC,0.121,A
omn,2019,CC,3.269,A
omn,2021,CC,0.5,A
omn,2022,CC,0.7,A
ksa,2016,Steam,4.38,B
ksa,2016,GT,0.357,B
ksa,2016,CC,3.927,B
ksa,2017,Steam,3.64,B
ksa,2017,GT,0.141,B
ksa,2017,Wind,0.003,B
ksa,2018,Steam,0.392,B
ksa,2018,GT,0.754,B
ksa,2018,CC,2.06,B
ksa,2019,GT,0.022439607179433173,B
ksa,2019,CC,1.504,B
ksa,2019,PV,0.31,B
ksa,2020,CC,7.02,B
ksa,2020,GTtoCC,3.586,B
ksa,2020,CSP,0.18,B
ksa,2021,CC,5.4,B
ksa,2025,CC,3.741057016558951,B
ksa,2026,CC,5.511380182002994,B
ksa,2027,CC,4.975427178293971,B
ksa,2028,CC,8.428913044981236,B
ksa,2029,CC,8.262103859563247,B
ksa,2030,CC,3.6842638330931203,B
ksa,2030,PV,11.596669536813515,B
uae,2016,CC,0.34,B
uae,2017,GT,0.3747775174502351,B
uae,2017,PV,0.2,B
uae,2018,GT,1.0690318174867444,B
uae,2018,CC,1.24,B
uae,2018,PV,0.2,B
uae,2020,GT,1.1140932391804077,B
uae,2020,GTtoCC,0.0703,B
uae,2020,Nuclear,5.6,B
uae,2020,PV,1.7770000000000001,B
uae,2021,CoalSteam,1.8,B
uae,2022,PV,0.15,B
uae,2023,CoalSteam,2.4,B
uae,2028,CC,0.41254843331677793,B
uae,2029,CC,1.187404184819448,B
uae,2030,CC,1.1205885743043509,B
qat,2016,GT,0.0770041077608222,B
qat,2019,GT,0.01203205270997056,B
qat,2020,GT,0.5154785033230146,B
qat,2020,GTtoCC,0.08750000000000001,B
qat,2021,Steam,1.1291320664068696,B
qat,2022,CC,0.9684813678915879,B
qat,2023,CC,0.48807598523059864,B
qat,2024,CC,0.4333686811999368,B
qat,2025,CC,0.594050437942242,B
qat,2026,CC,0.3520240442516429,B
qat,2027,CC,0.4548903019452214,B
qat,2028,CC,0.6421250377512177,B
qat,2029,CC,0.7223906674589267,B
qat,2030,CC,1.4607196190685428,B
kuw,2025,Nuclear,2.5158299883632713,B
kuw,2027,Nuclear,0.7249070309037602,B
kuw,2028,Nuclear,0.06658050730079175,B
kuw,2029,Nuclear,0.8464198340088253,B
kuw,2030,Nuclear,0.10978539864998688,B
bah,2027,CC,0.05835640326307924,B
bah,2028,CC,0.13991851851961598,B
bah,2029,CC,0.1199301587035572,B
bah,2030,CC,0.1399185185310448,B
omn,2016,CC,0.121,B
omn,2019,CC,3.269,B
omn,2021,CC,0.5,B
omn,2022,CC,0.7,B
ksa,2016,Steam,4.38,C
ksa,2016,GT,0.357,C
ksa,2016,CC,3.927,C
ksa,2017,Steam,3.64,C
ksa,2017,GT,0.141,C
