trun,c,ELp,value,scenario
2015,ksa,Steam,25.339199999999998,A
2015,ksa,GT,35.86,A
2015,ksa,CC,10.04,A
2015,ksa,PV,0.016,A
2015,ksa,Cogen,9.392000000000001,A
2015,uae,GT,5.702999999999999,A
2015,uae,CC,2.38,A
2015,uae,PV,0.01,A
2015,uae,CSP,0.05,A
2015,uae,Cogen,20.57,A
2015,qat,GT,1.2515,A
2015,qat,CC,2.007,A
2015,qat,Cogen,6.184,A
2015,kuw,PV,0.01,A
2015,kuw,Cogen,18.259,A
2015,bah,Steam,1.302,A
2015,bah,GT,1.629,A
2015,bah,CC,1.94,A
2015,bah,Cogen,0.28200000000000003,A
2015,omn,CC,4.957,A
2015,omn,Cogen,2.466,A
2016,ksa,Steam,25.339199999999998,A
2016,ksa,GT,35.619,A
2016,ksa,CC,10.04,A
2016,ksa,PV,0.015858,A
2016,ksa,Cogen,14.692000000000002,A
2016,uae,GT,5.702999999999999,A
2016,uae,CC,2.38,A
2016,uae,PV,0.00991,A
2016,uae,CSP,0.05,A
2016,uae,Cogen,20.57,A
2016,qat,GT,1.3285041077608222,A
2016,qat,CC,2.007,A
2016,qat,Cogen,6.184,A
2016,kuw,PV,0.00991,A
2016,kuw,Cogen,18.259,A
2016,bah,Steam,1.302,A
2016,bah,GT,1.629,A
2016,bah,CC,1.94,A
2016,bah,Cogen,0.28200000000000003,A
2016,omn,CC,4.957,A
2016,omn,Cogen,2.466,A
2017,ksa,Steam,29.719199999999997,A
2017,ksa,GT,35.187,A
2017,ksa,CC,13.966999999999999,A
2017,ksa,PV,0.015717268,A
2017,ksa,Cogen,17.442000000000004,A
2017,uae,GT,6.077777517450235,A
2017,uae,CC,2.7199999999999998,A
2017,uae,PV,0.009820810000000001,A
2017,uae,CSP,0.05,A
2017,uae,Cogen,20.57,A
2017,qat,GT,1.3285041077608222,A
2017,qat,CC,2.007,A
2017,qat,Cogen,7.784,A
2017,kuw,PV,0.009820810000000001,A
2017,kuw,Cogen,18.259,A
2017,bah,Steam,1.302,A
2017,bah,GT,1.629,A
2017,bah,CC,1.94,A
2017,bah,Cogen,0.28200000000000003,A
2017,omn,CC,5.077999999999999,A
2017,omn,Cogen,2.466,A
2018,ksa,Steam,33.3592,A
2018,ksa,GT,34.650999999999996,A
2018,ksa,CC,13.966999999999999,A
2018,ksa,PV,0.015577792638,A
2018,ksa,Cogen,14.741999999999999,A
2018,uae,GT,7.14680933493698,A
2018,uae,CC,2.7199999999999998,A
2018,uae,PV,0.00973242271,A
2018,uae,CSP,0.05,A
2018,uae,Cogen,20.57,A
2018,qat,GT,1.3285041077608222,A
2018,qat,CC,2.007,A
2018,qat,Cogen,8.608,A
2018,kuw,PV,0.00973242271,A
2018,kuw,Cogen,19.787,A
2018,bah,Steam,1.302,A
2018,bah,GT,1.629,A
2018,bah,CC,1.94,A
2018,bah,Cogen,0.28200000000000003,A
2018,omn,CC,5.077999999999999,A
2018,omn,Cogen,2.466,A
2019,ksa,Steam,33.7512,A
2019,ksa,GT,34.65043960717957,A
2019,ksa,CC,16.027,A
2019,ksa,PV,0.015439562654008001,A
2019,ksa,Cogen,14.741999999999999,A
2019,uae,GT,7.14680933493698,A
2019,uae,CC,3.96,A
2019,uae,PV,0.00964483090561,A
2019,uae,CSP,0.05,A
2019,uae,Cogen,20.57,A
2019,qat,GT,1.3405361604707817,A
2019,qat,CC,2.007,A
2019,qat,Cogen,7.796,A
2019,kuw,PV,0.00964483090561,A
2019,kuw,Cogen,19.023,A
2019,bah,Steam,1.302,A
