trun,c,cc,value,scenario
2019,ksa,uae,0.9513436903408998,C
2019,ksa,qat,1.2728672457926866,C
2019,ksa,kuw,0.9868660173153839,C
2019,uae,ksa,1.1480464495813238,C
2019,uae,omn,1.3769759766662768,C
2019,qat,ksa,2.953143454318963,C
2019,kuw,ksa,9.592270274171327,C
2019,omn,uae,2.5163573566670383,C
2020,ksa,uae,6.344831789001145,C
2020,ksa,qat,6.83969747007359,C
2020,ksa,kuw,1.4031485151369503,C
2020,ksa,bah,2.916419782902816,C
2020,uae,ksa,5.256064058209941,C
2020,uae,omn,2.0252327865087394,C
2020,qat,ksa,4.72487004004026,C
2020,kuw,ksa,10.103344046924565,C
2020,bah,ksa,2.8947917929971196,C
2020,omn,uae,0.8911766918929301,C
2021,ksa,uae,6.831405248022666,C
2021,ksa,qat,6.836450696818146,C
2021,ksa,kuw,1.3533205977356018,C
2021,ksa,bah,4.905690188653698,C
2021,uae,ksa,4.7891527991975265,C
2021,uae,omn,0.13224159020757117,C
2021,qat,ksa,4.718797827420182,C
2021,kuw,ksa,10.152598613625578,C
2021,bah,ksa,0.9194209232716852,C
2021,omn,uae,0.3513606382673054,C
2022,ksa,uae,7.3378681491201885,C
2022,ksa,qat,6.402328671212928,C
2022,ksa,kuw,1.353486671704585,C
2022,ksa,bah,2.823554026906478,C
2022,uae,ksa,4.193165201780158,C
2022,uae,omn,0.4333233235639655,C
2022,qat,ksa,5.213567902503704,C
2022,kuw,ksa,10.232056371968865,C
2022,bah,ksa,2.843141578085839,C
2022,omn,uae,0.8074844120538219,C
2023,ksa,uae,7.998012099510902,C
2023,ksa,qat,6.264304113017902,C
2023,ksa,kuw,1.2628700524770702,C
2023,ksa,bah,3.5211394987467926,C
2023,uae,ksa,3.5242217093150994,C
2023,uae,omn,0.7725684716811114,C
2023,qat,ksa,5.387547802010038,C
2023,kuw,ksa,10.256021827230823,C
2023,bah,ksa,2.2285706563744214,C
2023,omn,uae,0.9009947468915696,C
2024,ksa,uae,8.863480000678095,C
2024,ksa,qat,5.942121557050094,C
2024,ksa,kuw,1.2117141362578803,C
2024,ksa,bah,3.96547824011798,C
2024,uae,ksa,2.8130067386933133,C
2024,uae,omn,2.481562740177744,C
2024,qat,ksa,5.714556140804427,C
2024,kuw,ksa,10.317958935777146,C
2024,bah,ksa,1.8396227221729704,C
2024,omn,uae,1.3654053034441171,C
2025,ksa,uae,9.166635757693149,C
2025,ksa,qat,5.644617304853063,C
2025,ksa,kuw,1.1646413380987304,C
2025,ksa,bah,4.320736801530996,C
2025,uae,ksa,2.4426774377241975,C
2025,uae,omn,0.14434760498496169,C
2025,qat,ksa,5.784931199843361,C
2025,kuw,ksa,10.375280253608683,C
2025,bah,ksa,1.4784454750860645,C
2025,omn,uae,3.748985728348332,C
2026,ksa,uae,8.789980449089784,C
2026,ksa,qat,5.344725532190581,C
2026,ksa,kuw,1.3334337789131958,C
2026,ksa,bah,4.487717522344419,C
2026,uae,ksa,0.8162104986010751,C
2026,uae,omn,0.027676274130278324,C
2026,qat,ksa,5.055297998163048,C
2026,kuw,ksa,10.091246712404859,C
2026,bah,ksa,1.24907723355379,C
2026,omn,uae,3.865657059202948,C
2027,ksa,uae,7.291256108868582,C
2027,ksa,qat,6.185954342194148,C
2027,ksa,kuw,5.04479156565689,C
2027,ksa,bah,3.664269902077031,C
2027,uae,ksa,3.8217201842475212,C
2027,uae,omn,0.052221035957019754,C
2027,qat,ksa,5.222189658047849,C
2027,kuw,ksa,6.415029930238496,C
2027,bah,ksa,2.1520640259150117,C
2027,omn,uae,3.8388922839019175,C
2028,ksa,uae,4.9598813141662275,C
2028,ksa,qat,3.763945229978789,C
2028,ksa,kuw,3.2229532049514527,C
2028,ksa,bah,2.4508572034807123,C
2028,uae,ksa,3.0346937521563433,C
2028,uae,omn,1.071170274513143,C
2028,qat,ksa,4.407970133358782,C
2028,kuw,ksa,5.4256295013897775,C
2028,bah,ksa,2.0239339932372267,C
2028,omn,uae,2.4697296176085533,C
2029,ksa,uae,2.53958536536453,C
2029,ksa,qat,0.0647053312151694,C
2029,ksa,kuw,6.295817550202573,C
2029,ksa,bah,0.3546998519913908,C
2029,uae,ksa,5.981137639014678,C
2029,uae,omn,0.9927471016841491,C
2029,qat,ksa,9.581561959414927,C
2029,kuw,ksa,4.081395040091157,C
2029,bah,ksa,5.385370683189385,C
2029,omn,uae,2.2710222281121997,C
2030,ksa,uae,1.6714031156126412,C
2030,ksa,qat,0.07172629590807376,C
2030,ksa,kuw,5.958304895260133,C
2030,ksa,bah,0.09665224503573168,C
2030,uae,ksa,8.550355454433014,C
2030,uae,omn,0.20747341753972656,C
2030,qat,ksa,11.30721506608715,C
2030,kuw,ksa,4.547663776968192,C
2030,bah,ksa,5.453305311097154,C
